ID,운동명(한글),운동명(영문),대분류,소분류,주동근,보조근,기구,운동유형,난이도
86,케이블 글루트 킥백,Cable Glute Kickback,하체,둔근,대둔근,햄스트링,케이블,Isolation,Beginner
87,힙 어브덕션 머신,Hip Abduction Machine,하체,중둔근,중둔근,대둔근,머신,Isolation,Beginner
88,힙 어덕션 머신,Hip Adduction Machine,하체,내전근,내전근,-,머신,Isolation,Beginner
89,스탠딩 카프 레이즈,Standing Calf Raise,하체,비복근,비복근,가자미근,머신,Isolation,Beginner
90,시티드 카프 레이즈,Seated Calf Raise,하체,가자미근,가자미근,비복근,머신,Isolation,Beginner
91,레그 프레스 카프 레이즈,Leg Press Calf Raise,하체,비복근,비복근,가자미근,머신,Isolation,Beginner
92,스모 스쿼트,Sumo Squat,하체,내전근,내전근·둔근,대퇴사두,덤벨,Compound,Beginner
93,컷시 런지,Curtsy Lunge,하체,둔근,중둔근·대둔근,대퇴사두,덤벨,Compound,Intermediate
94,피스톨 스쿼트,Pistol Squat,하체,대퇴사두,대퇴사두·둔근,코어,맨몸,Compound,Advanced
95,박스 스쿼트,Box Squat,하체,둔근,둔근·대퇴사두,햄스트링,바벨,Compound,Intermediate
96,벨트 스쿼트,Belt Squat,하체,대퇴사두,대퇴사두·둔근,햄스트링,머신,Compound,Intermediate
97,노르딕 햄스트링 컬,Nordic Hamstring Curl,하체,햄스트링,햄스트링,둔근,맨몸,Isolation,Advanced
98,글루트 햄 레이즈,Glute-Ham Raise,하체,햄스트링,햄스트링·둔근,척추기립근,머신,Compound,Advanced
99,시시 스쿼트,Sissy Squat,하체,대퇴사두,대퇴사두,-,맨몸,Isolation,Advanced
100,점프 스쿼트,Jump Squat,하체,대퇴사두,대퇴사두·둔근,비복근,맨몸,Compound,Intermediate
101,바벨 컬,Barbell Curl,팔,이두근,이두근,전완근,바벨,Isolation,Beginner
102,EZ바 컬,EZ-Bar Curl,팔,이두근,이두근,전완근,바벨,Isolation,Beginner
103,덤벨 컬,Dumbbell Biceps Curl,팔,이두근,이두근,전완근,덤벨,Isolation,Beginner
104,해머 컬,Hammer Curl,팔,이두근,이두근·상완근,전완근,덤벨,Isolation,Beginner
105,인클라인 덤벨 컬,Incline Dumbbell Curl,팔,이두근,이두근 장두,전완근,덤벨,Isolation,Intermediate
106,프리처 컬,Preacher Curl,팔,이두근,이두근 단두,전완근,바벨,Isolation,Intermediate
107,머신 프리처 컬,Machine Preacher Curl,팔,이두근,이두근,전완근,머신,Isolation,Beginner
108,컨센트레이션 컬,Concentration Curl,팔,이두근,이두근,전완근,덤벨,Isolation,Beginner
109,케이블 컬,Cable Curl,팔,이두근,이두근,전완근,케이블,Isolation,Beginner
110,케이블 로프 해머 컬,Cable Rope Hammer Curl,팔,이두근,이두근·상완근,전완근,케이블,Isolation,Beginner
111,스파이더 컬,Spider Curl,팔,이두근,이두근 단두,전완근,덤벨,Isolation,Intermediate
112,드래그 컬,Drag Curl,팔,이두근,이두근 장두,전완근,바벨,Isolation,Intermediate
113,졸트만 컬,Zottman Curl,팔,이두근,이두근·전완근,상완근,덤벨,Isolation,Intermediate
114,21s 바벨 컬,21s Barbell Curl,팔,이두근,이두근,전완근,바벨,Isolation,Intermediate
115,리버스 바벨 컬,Reverse Barbell Curl,팔,전완근,상완요골근·전완근,이두근,바벨,Isolation,Intermediate
116,스탠딩 케이블 컬,Standing Cable Curl,팔,이두근,이두근,전완근,케이블,Isolation,Beginner
117,클로즈 그립 벤치프레스,Close-Grip Bench Press,팔,삼두근,삼두근,대흉근·전면삼각근,바벨,Compound,Intermediate
118,스컬크러셔,Lying Triceps Extension,팔,삼두근,삼두근,-,바벨,Isolation,Intermediate
119,EZ바 스컬크러셔,EZ-Bar Skull Crusher,팔,삼두근,삼두근,-,바벨,Isolation,Intermediate
120,오버헤드 트라이셉스 익스텐션,Overhead Triceps Extension,팔,삼두근,삼두근 장두,-,바벨,Isolation,Intermediate
121,덤벨 오버헤드 익스텐션,Dumbbell Overhead Extension,팔,삼두근,삼두근 장두,-,덤벨,Isolation,Beginner
122,케이블 푸시다운,Triceps Pushdown,팔,삼두근,삼두근,-,케이블,Isolation,Beginner
123,로프 푸시다운,Rope Triceps Pushdown,팔,삼두근,삼두근,-,케이블,Isolation,Beginner
124,리버스 그립 푸시다운,Reverse-Grip Pushdown,팔,삼두근,삼두근 내측두,-,케이블,Isolation,Beginner
125,트라이셉스 킥백,Triceps Kickback,팔,삼두근,삼두근,-,덤벨,Isolation,Beginner
126,케이블 킥백,Cable Triceps Kickback,팔,삼두근,삼두근,-,케이블,Isolation,Beginner
127,벤치 딥스,Bench Dip,팔,삼두근,삼두근,전면삼각근,맨몸,Compound,Beginner
128,트라이셉스 딥스,Triceps Dip,팔,삼두근,삼두근,대흉근,맨몸,Compound,Intermediate
129,다이아몬드 푸시업,Diamond Push-Up,팔,삼두근,삼두근,대흉근,맨몸,Compound,Intermediate
130,JM 프레스,JM Press,팔,삼두근,삼두근,대흉근,바벨,Compound,Advanced
131,머신 트라이셉스 익스텐션,Machine Triceps Extension,팔,삼두근,삼두근,-,머신,Isolation,Beginner
132,케이블 오버헤드 익스텐션,Cable Overhead Triceps Extension,팔,삼두근,삼두근 장두,-,케이블,Isolation,Intermediate
133,리스트 컬,Wrist Curl,팔,전완근,전완 굴근,-,덤벨,Isolation,Beginner
134,리버스 리스트 컬,Reverse Wrist Curl,팔,전완근,전완 신근,-,덤벨,Isolation,Beginner
135,비하인드 백 리스트 컬,Behind-the-Back Wrist Curl,팔,전완근,전완 굴근,-,바벨,Isolation,Intermediate
136,파머스 캐리,Farmer's Carry,팔,전완근,전완근·승모근,코어,덤벨,Compound,Beginner
137,플레이트 핀치,Plate Pinch,팔,전완근,전완 굴근,-,원판,Isolation,Intermediate
138,리스트 롤러,Wrist Roller,팔,전완근,전완 굴근·신근,-,기타,Isolation,Intermediate
139,플랭크,Plank,코어,복직근,복직근·복횡근,척추기립근,맨몸,Isolation,Beginner
140,사이드 플랭크,Side Plank,코어,복사근,복사근,복횡근,맨몸,Isolation,Beginner
141,크런치,Crunch,코어,복직근,복직근 상부,-,맨몸,Isolation,Beginner
142,싯업,Sit-Up,코어,복직근,복직근,고관절굴근,맨몸,Isolation,Beginner
143,디클라인 싯업,Decline Sit-Up,코어,복직근,복직근,고관절굴근,맨몸,Isolation,Intermediate
144,케이블 크런치,Cable Crunch,코어,복직근,복직근,복사근,케이블,Isolation,Beginner
145,행잉 레그 레이즈,Hanging Leg Raise,코어,복직근,복직근 하부,고관절굴근,맨몸,Isolation,Advanced
146,행잉 니 레이즈,Hanging Knee Raise,코어,복직근,복직근 하부,고관절굴근,맨몸,Isolation,Intermediate
147,토즈 투 바,Toes-to-Bar,코어,복직근,복직근,광배근·고관절굴근,맨몸,Compound,Advanced
148,리버스 크런치,Reverse Crunch,코어,복직근,복직근 하부,-,맨몸,Isolation,Beginner
149,바이시클 크런치,Bicycle Crunch,코어,복사근,복직근·복사근,-,맨몸,Isolation,Beginner
150,러시안 트위스트,Russian Twist,코어,복사근,복사근,복직근,맨몸,Isolation,Beginner
151,케이블 우드 찹,Cable Woodchopper,코어,복사근,복사근,복직근,케이블,Compound,Intermediate
152,팔로프 프레스,Pallof Press,코어,복사근,복사근·복횡근,복직근,케이블,Isolation,Intermediate
153,앱 휠 롤아웃,Ab Wheel Rollout,코어,복직근,복직근·복횡근,광배근,기타,Compound,Advanced
154,V업,V-Up,코어,복직근,복직근,고관절굴근,맨몸,Isolation,Intermediate
155,할로우 바디 홀드,Hollow Body Hold,코어,복직근,복직근·복횡근,고관절굴근,맨몸,Isolation,Intermediate
156,마운틴 클라이머,Mountain Climber,코어,복직근,복직근,고관절굴근,맨몸,Compound,Beginner
157,데드버그,Dead Bug,코어,복횡근,복횡근·복직근,고관절굴근,맨몸,Isolation,Beginner
158,버드독,Bird Dog,코어,척추기립근,척추기립근·둔근,복횡근,맨몸,Isolation,Beginner
159,드래곤 플래그,Dragon Flag,코어,복직근,복직근,광배근,맨몸,Isolation,Advanced
160,캡틴스 체어 레그 레이즈,Captain's Chair Leg Raise,코어,복직근,복직근 하부,고관절굴근,머신,Isolation,Intermediate
161,케틀벨 스윙,Kettlebell Swing,전신,둔근,둔근·햄스트링,코어·승모근,케틀벨,Compound,Intermediate
162,케틀벨 고블릿 스쿼트,Kettlebell Goblet Squat,하체,대퇴사두,대퇴사두·둔근,코어,케틀벨,Compound,Beginner
163,케틀벨 클린,Kettlebell Clean,전신,둔근,둔근·햄스트링,승모근·전완근,케틀벨,Compound,Intermediate
164,케틀벨 스내치,Kettlebell Snatch,전신,둔근,둔근·삼각근,코어,케틀벨,Compound,Advanced
165,터키시 겟업,Turkish Get-Up,전신,코어,어깨·코어,둔근,케틀벨,Compound,Advanced
166,케틀벨 프레스,Kettlebell Press,어깨,전면삼각근,전면삼각근,삼두근,케틀벨,Compound,Intermediate
167,케틀벨 윈드밀,Kettlebell Windmill,코어,복사근,복사근·어깨,햄스트링,케틀벨,Compound,Advanced
168,케틀벨 데드리프트,Kettlebell Deadlift,하체,둔근,둔근·햄스트링,척추기립근,케틀벨,Compound,Beginner
169,케틀벨 프론트 스쿼트,Kettlebell Front Squat,하체,대퇴사두,대퇴사두·둔근,코어,케틀벨,Compound,Intermediate
170,케틀벨 로우,Kettlebell Row,등,광배근,광배근,이두근,케틀벨,Compound,Beginner
171,TRX 로우,TRX Row,등,광배근,광배근·능형근,이두근,TRX,Compound,Beginner
172,TRX 푸시업,TRX Push-Up,가슴,대흉근,대흉근,삼두근·코어,TRX,Compound,Intermediate
173,TRX 파이크,TRX Pike,코어,복직근,복직근,어깨,TRX,Compound,Advanced
174,TRX 비셉스 컬,TRX Biceps Curl,팔,이두근,이두근,전완근,TRX,Isolation,Beginner
175,TRX 트라이셉스 익스텐션,TRX Triceps Extension,팔,삼두근,삼두근,코어,TRX,Isolation,Intermediate
176,TRX 런지,TRX Lunge,하체,대퇴사두,대퇴사두·둔근,코어,TRX,Compound,Intermediate
177,TRX 햄스트링 컬,TRX Hamstring Curl,하체,햄스트링,햄스트링,둔근,TRX,Isolation,Intermediate
178,TRX 체스트 프레스,TRX Chest Press,가슴,대흉근,대흉근,삼두근,TRX,Compound,Intermediate
179,밴드 풀어파트,Band Pull-Apart,어깨,후면삼각근,후면삼각근,능형근,밴드,Isolation,Beginner
180,밴드 레터럴 레이즈,Band Lateral Raise,어깨,측면삼각근,측면삼각근,승모근,밴드,Isolation,Beginner
181,밴드 비셉스 컬,Band Biceps Curl,팔,이두근,이두근,전완근,밴드,Isolation,Beginner
182,밴드 트라이셉스 푸시다운,Band Triceps Pushdown,팔,삼두근,삼두근,-,밴드,Isolation,Beginner
183,밴드 페이스 풀,Band Face Pull,어깨,후면삼각근,후면삼각근·회전근개,능형근,밴드,Isolation,Beginner
184,밴드 굿모닝,Band Good Morning,등,척추기립근,척추기립근·햄스트링,둔근,밴드,Compound,Beginner
185,밴드 몬스터 워크,Band Monster Walk,하체,중둔근,중둔근,대둔근,밴드,Isolation,Beginner
186,밴드 글루트 브릿지,Band Glute Bridge,하체,둔근,대둔근,햄스트링,밴드,Isolation,Beginner
187,메디신볼 슬램,Medicine Ball Slam,전신,복직근,복직근·광배근,어깨,메디신볼,Compound,Beginner
188,메디신볼 체스트 패스,Medicine Ball Chest Pass,가슴,대흉근,대흉근,삼두근,메디신볼,Compound,Beginner
189,메디신볼 러시안 트위스트,Medicine Ball Russian Twist,코어,복사근,복사근,복직근,메디신볼,Isolation,Beginner
190,월 볼,Wall Ball,전신,대퇴사두,대퇴사두·둔근,어깨,메디신볼,Compound,Intermediate
191,배틀로프 웨이브,Battle Rope Wave,전신,어깨,어깨·전완근,코어,배틀로프,Compound,Intermediate
192,슬레드 푸시,Sled Push,하체,대퇴사두,대퇴사두·둔근,종아리,슬레드,Compound,Intermediate
193,슬레드 풀,Sled Pull,하체,햄스트링,햄스트링·둔근,등,슬레드,Compound,Intermediate
194,보수 스쿼트,BOSU Squat,하체,대퇴사두,대퇴사두·둔근,코어,BOSU,Compound,Beginner
195,짐볼 크런치,Stability Ball Crunch,코어,복직근,복직근,복사근,짐볼,Isolation,Beginner
196,짐볼 햄스트링 컬,Stability Ball Hamstring Curl,하체,햄스트링,햄스트링,둔근,짐볼,Isolation,Intermediate
197,짐볼 플랭크,Stability Ball Plank,코어,복직근,복직근·복횡근,어깨,짐볼,Isolation,Intermediate
198,파워 클린,Power Clean,전신,둔근,둔근·햄스트링,승모근·삼각근,바벨,Compound,Advanced
199,행 클린,Hang Clean,전신,둔근,둔근·햄스트링,승모근,바벨,Compound,Advanced
200,푸시 프레스,Push Press,전신,전면삼각근,전면삼각근·대퇴사두,삼두근,바벨,Compound,Intermediate
201,스내치,Snatch,전신,올림픽리프팅,둔근·삼각근,햄스트링·승모근,바벨,Compound,Advanced
202,클린 앤 저크,Clean and Jerk,전신,올림픽리프팅,둔근·삼각근,햄스트링·삼두근,바벨,Compound,Advanced
203,파워 스내치,Power Snatch,전신,올림픽리프팅,둔근·삼각근,승모근,바벨,Compound,Advanced
204,행 스내치,Hang Snatch,전신,올림픽리프팅,둔근·삼각근,승모근,바벨,Compound,Advanced
205,스쿼트 클린,Squat Clean,전신,올림픽리프팅,둔근·대퇴사두,승모근·삼각근,바벨,Compound,Advanced
206,스플릿 저크,Split Jerk,전신,올림픽리프팅,전면삼각근·대퇴사두,삼두근·코어,바벨,Compound,Advanced
207,푸시 저크,Push Jerk,전신,올림픽리프팅,전면삼각근·대퇴사두,삼두근,바벨,Compound,Advanced
208,클린 풀,Clean Pull,전신,올림픽리프팅,둔근·햄스트링,승모근,바벨,Compound,Advanced
209,스내치 풀,Snatch Pull,전신,올림픽리프팅,둔근·햄스트링,승모근,바벨,Compound,Advanced
210,오버헤드 스쿼트,Overhead Squat,전신,올림픽리프팅,대퇴사두·삼각근,코어·둔근,바벨,Compound,Advanced
211,머슬 스내치,Muscle Snatch,전신,올림픽리프팅,삼각근·둔근,승모근,바벨,Compound,Advanced
212,행 파워 클린,Hang Power Clean,전신,올림픽리프팅,둔근·승모근,햄스트링,바벨,Compound,Advanced
213,클린 그립 데드리프트,Clean-Grip Deadlift,전신,올림픽리프팅,둔근·햄스트링,승모근,바벨,Compound,Intermediate
214,스내치 그립 데드리프트,Snatch-Grip Deadlift,전신,올림픽리프팅,둔근·햄스트링,승모근·광배근,바벨,Compound,Advanced
215,소츠 프레스,Sots Press,전신,올림픽리프팅,삼각근,대퇴사두·코어,바벨,Compound,Advanced
216,클린 앤 프레스,Clean and Press,전신,올림픽리프팅,둔근·삼각근,삼두근,바벨,Compound,Advanced
217,아틀라스 스톤 리프트,Atlas Stone Lift,전신,스트롱맨,둔근·척추기립근,이두근·광배근,기타,Compound,Advanced
218,요크 워크,Yoke Walk,전신,스트롱맨,척추기립근·코어,승모근·대퇴사두,기타,Compound,Advanced
219,로그 프레스,Log Press,전신,스트롱맨,전면삼각근,삼두근·대퇴사두,기타,Compound,Advanced
220,케그 토스,Keg Toss,전신,스트롱맨,둔근·삼각근,햄스트링,기타,Compound,Advanced
221,타이어 플립,Tire Flip,전신,스트롱맨,둔근·대퇴사두,광배근·이두근,기타,Compound,Advanced
222,카 데드리프트,Car Deadlift,전신,스트롱맨,둔근·햄스트링,승모근·전완근,기타,Compound,Advanced
223,샌드백 캐리,Sandbag Carry,전신,스트롱맨,코어·승모근,전완근·둔근,기타,Compound,Intermediate
224,허큘리스 홀드,Hercules Hold,전신,스트롱맨,전완근,승모근·삼각근,기타,Isolation,Advanced
225,액슬 바 데드리프트,Axle Bar Deadlift,전신,스트롱맨,둔근·햄스트링,전완근·승모근,바벨,Compound,Advanced
226,트랩바 데드리프트,Trap Bar Deadlift,하체,스트롱맨,둔근·대퇴사두,햄스트링·승모근,바벨,Compound,Intermediate
227,컨티넨탈 클린,Continental Clean,전신,스트롱맨,둔근·승모근,이두근·전완근,기타,Compound,Advanced
228,스톤 오버 바,Stone Over Bar,전신,스트롱맨,둔근·척추기립근,광배근,기타,Compound,Advanced
229,박스 점프,Box Jump,전신,플라이오메트릭,대퇴사두·둔근,비복근,맨몸,Compound,Intermediate
230,브로드 점프,Broad Jump,전신,플라이오메트릭,둔근·대퇴사두,햄스트링,맨몸,Compound,Intermediate
231,점프 런지,Jump Lunge,전신,플라이오메트릭,대퇴사두·둔근,비복근,맨몸,Compound,Intermediate
232,뎁스 점프,Depth Jump,전신,플라이오메트릭,대퇴사두·둔근,비복근,맨몸,Compound,Advanced
233,버피,Burpee,전신,플라이오메트릭,대퇴사두·대흉근,코어·삼두근,맨몸,Compound,Beginner
234,박스 점프 오버,Box Jump Over,전신,플라이오메트릭,대퇴사두·둔근,비복근,맨몸,Compound,Intermediate
235,클랩 푸시업,Clap Push-Up,가슴,플라이오메트릭,대흉근,삼두근·전면삼각근,맨몸,Compound,Advanced
236,플라이오메트릭 푸시업,Plyometric Push-Up,가슴,플라이오메트릭,대흉근,삼두근,맨몸,Compound,Advanced
237,라테럴 바운드,Lateral Bound,전신,플라이오메트릭,둔근·대퇴사두,중둔근,맨몸,Compound,Intermediate
238,스케이터 점프,Skater Jump,전신,플라이오메트릭,둔근·대퇴사두,중둔근,맨몸,Compound,Beginner
239,턱 점프,Tuck Jump,전신,플라이오메트릭,대퇴사두·둔근,코어,맨몸,Compound,Intermediate
240,점프 로프,Jump Rope,유산소,플라이오메트릭,비복근,어깨·전완근,기타,Compound,Beginner
241,더블 언더,Double Under,유산소,기능성,비복근,어깨·전완근,기타,Compound,Advanced
242,월 클라임,Wall Climb,전신,기능성,어깨·코어,삼두근,맨몸,Compound,Advanced
